     Molecular Orbital Coefficients:
                           1         2         3         4         5
                           O         O         O         O         O
     Eigenvalues --  -372.66755-235.72701 -46.03921 -40.79270 -40.79111
    93        4PZ       0.00000  -0.00001   0.00005   0.00025  -0.00016
    94        5S        0.00052   0.00002   0.00716   0.00054  -0.01121
    95        5PX       0.00029   0.00006   0.00395   0.00036  -0.00331
    96        5PY      -0.00025   0.00006  -0.00334   0.00075   0.00501
    97        5PZ       0.00012   0.00004   0.00149  -0.00026  -0.00136
    98        6D 0      0.00001   0.00000   0.00009  -0.00001  -0.00008
    99        6D+1      0.00000   0.00000  -0.00002  -0.00002   0.00002
   100        6D-1      0.00000   0.00000   0.00001   0.00003  -0.00001
   101        6D+2      0.00000   0.00000   0.00000  -0.00001  -0.00001
   102        6D-2      0.00001  -0.00001   0.00011   0.00000  -0.00010
   103 4   O  1S        0.00000   0.00000   0.00000   0.00000   0.00000
   104        2S        0.00000   0.00000  -0.00001   0.00000   0.00000
   105        2PX       0.00000   0.00000   0.00000   0.00000  -0.00001
   106        2PY       0.00000   0.00000   0.00000   0.00000   0.00000
   107        2PZ       0.00000   0.00000  -0.00001  -0.00001   0.00002
   108        3S        0.00001   0.00001   0.00007  -0.00001  -0.00001
   109        3PX       0.00000   0.00000  -0.00001  -0.00002   0.00004
   110        3PY       0.00000   0.00000   0.00001   0.00000  -0.00001
   111        3PZ       0.00000   0.00000   0.00002   0.00004  -0.00006
   112        4S       -0.00005  -0.00003  -0.00066  -0.00030   0.00052
   113        4PX      -0.00001  -0.00002  -0.00017  -0.00011   0.00003
   114        4PY       0.00000   0.00000  -0.00005  -0.00003   0.00004
   115        4PZ       0.00001   0.00002   0.00008   0.00000   0.00002
   116        5S       -0.00019   0.00013  -0.00235  -0.00124   0.00111
   117        5PX      -0.00004  -0.00002  -0.00053  -0.00070   0.00156
   118        5PY       0.00002  -0.00001   0.00025   0.00000  -0.00015
   119        5PZ       0.00012  -0.00005   0.00152   0.00038  -0.00082
   120        6D 0      0.00000   0.00000   0.00000   0.00001   0.00000
   121        6D+1      0.00000   0.00000   0.00000   0.00000   0.00000
   122        6D-1      0.00000   0.00000   0.00000   0.00000   0.00000
   123        6D+2      0.00000   0.00000   0.00000   0.00000  -0.00001
   124        6D-2      0.00000   0.00000   0.00000   0.00000   0.00000
   125 5   O  1S        0.00000   0.00000   0.00000   0.00000   0.00000
   126        2S        0.00000   0.00000  -0.00002  -0.00001   0.00000
   127        2PX       0.00000   0.00000  -0.00001  -0.00001   0.00001
   128        2PY       0.00000   0.00000   0.00000   0.00000   0.00000
   129        2PZ       0.00000   0.00000   0.00001  -0.00005   0.00000
   130        3S        0.00001   0.00000   0.00014   0.00015   0.00002
   131        3PX       0.00000   0.00000   0.00004   0.00004  -0.00004
   132        3PY       0.00000   0.00000   0.00000   0.00001   0.00000
